ticker,company_name,category,exchange,size_band,rationale
ANET,Arista Networks,Networking and Optics,NYSE,Mega,High-speed Ethernet switching for AI clusters; direct hyperscaler exposure
AVGO,Broadcom,Networking and Optics,NASDAQ,Mega,Tomahawk/Jericho switch silicon plus custom AI accelerators; core AI networking supplier
MRVL,Marvell Technology,Networking and Optics,NASDAQ,Large,Optical DSPs and custom silicon and data center interconnect
ALAB,Astera Labs,Networking and Optics,NASDAQ,Large,PCIe/CXL connectivity silicon; pure-play AI rack interconnect
CRDO,Credo Technology,Networking and Optics,NASDAQ,Large,Active electrical cables and SerDes for AI clusters; high-beta pure play
COHR,Coherent Corp,Networking and Optics,NYSE,Large,Optical transceivers and photonics; major 800G/1.6T supplier
LITE,Lumentum Holdings,Networking and Optics,NASDAQ,Large,Optical components and lasers for data center interconnect
CIEN,Ciena,Networking and Optics,NYSE,Large,Coherent optical transport; data center interconnect between campuses
FN,Fabrinet,Networking and Optics,NYSE,Large,Contract manufacturer for optical modules; builds for NVDA and others
GLW,Corning,Networking and Optics,NYSE,Mega,Optical fiber and cable for data center buildouts
MU,Micron Technology,Memory and Storage,NASDAQ,Mega,HBM and DRAM; the single most direct memory play on AI demand
STX,Seagate Technology,Memory and Storage,NASDAQ,Large,Nearline HDDs for AI data lakes; HAMR cycle
WDC,Western Digital,Memory and Storage,NASDAQ,Large,Nearline HDD supplier post-flash separation
SNDK,SanDisk,Memory and Storage,NASDAQ,Large,NAND flash pure play after separation from Western Digital
PSTG,Pure Storage,Memory and Storage,NYSE,Large,All-flash enterprise arrays; hyperscaler design win exposure
NTAP,NetApp,Memory and Storage,NASDAQ,Large,Enterprise storage and data management for AI pipelines
PENG,Penguin Solutions,Memory and Storage,NASDAQ,Mid,Memory modules and integrated AI compute systems
SIMO,Silicon Motion,Memory and Storage,NASDAQ,Mid,NAND flash controllers; leveraged to storage volume cycles
RMBS,Rambus,Memory and Storage,NASDAQ,Mid,Memory interface chips and IP; DDR5/HBM licensing exposure
NLST,Netlist,Memory and Storage,NASDAQ,Small,Memory module maker; speculative and litigation-driven so expect noise
SMCI,Super Micro Computer,Servers and Compute,NASDAQ,Large,AI server racks and liquid-cooled systems; highest-beta server name
DELL,Dell Technologies,Servers and Compute,NYSE,Mega,AI server backlog with neocloud and hyperscaler customers
HPE,Hewlett Packard Enterprise,Servers and Compute,NYSE,Large,AI servers plus Juniper networking after acquisition
CLS,Celestica,Servers and Compute,NYSE,Large,ODM for hyperscaler switches and racks; strong AI mix shift
NVDA,NVIDIA,Servers and Compute,NASDAQ,Mega,GPU supplier at the center of the entire buildout
